Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Quảng Bình,2021,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.692123,910.66,114.0,nan,nan,nan,nan,5.410118425635666
Quảng Bình,2022,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.4973176666666667,913.86,114.0,nan,nan,nan,nan,5.260130718954248
Quảng Bình,2023,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,nan,nan,nan,nan,nan,nan,5.605969634230504
Quảng Trị,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.541708,629.7,136.25,"0,621","0,659","0,742","0,621",4.681811432813661
Quảng Trị,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.605088,633.4,137.0,"0,62","0,664","0,743","0,636",5.026118827160494
Quảng Trị,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.424106,637.39,136.0,"0,626","0,671","0,741","0,65",5.684709480122325
Quảng Trị,2021,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.424106,647.79,138.0,nan,nan,nan,nan,5.848351383874849
Quảng Trị,2022,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.478714,650.95,138.0,nan,nan,nan,nan,5.710701981050818
Quảng Trị,2023,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,nan,nan,nan,nan,nan,nan,5.736396503774334
Thừa Thiên - Huế,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,1125.4,229.56,"0,607","0,664","0,795","0,606",4.335906491759165
Thừa Thiên - Huế,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,1129.5,230.0,"0,65","0,685","0,797","0,62",4.941809999999999
Thừa Thiên - Huế,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,1133.59,229.0,"0,632","0,681","0,796","0,629",5.852023333333334
Thừa Thiên - Huế,2021,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,1153.8,233.0,nan,nan,nan,nan,6.023466933867735
Thừa Thiên - Huế,2022,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,1160.22,235.0,nan,nan,nan,nan,5.699739999999999
Thừa Thiên - Huế,2023,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,nan,nan,nan,nan,nan,nan,5.930066800267201
Đà Nẵng,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.997468,1114.4,867.3,"0,745","0,773","0,862","0,719",4.884772818657016
Đà Nẵng,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.170701,1141.1,888.0,"0,775","0,788","0,863","0,731",5.093550000000001
Đà Nẵng,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.35499,1169.48,910.0,"0,763","0,779","0,866","0,716",6.2462333333333335
Đà Nẵng,2021,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.849277,1195.49,931.0,nan,nan,nan,nan,6.270970970970971
Đà Nẵng,2022,Vùng Bắc Trung Bộ và duyên hải miền Trung,2.59497,1220.19,950.0,nan,nan,nan,nan,6.027251104315325
Đà Nẵng,2023,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,nan,nan,nan,nan,nan,nan,6.265920651068158
Quảng Nam,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.24050425,1490.8,140.98,"0,624","0,696","0,812","0,664",4.503416750083416
Quảng Nam,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.32275,1497.5,142.0,"0,629","0,702","0,814","0,675",4.7963233333333335
Quảng Nam,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.395808,1505.04,142.0,"0,635","0,703","0,816","0,671",5.8715953307393
Quảng Nam,2021,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.259547,1518.48,144.0,nan,nan,nan,nan,5.8151469605878425
Quảng Nam,2022,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.983912,1519.38,144.0,nan,nan,nan,nan,5.58857
Quảng Nam,2023,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,nan,nan,nan,nan,nan,nan,5.704663991975928
