Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Đà Nẵng,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.35499,1169.48,910.0,0.763,0.779,0.866,0.716,6.2462333333333335
Quảng Nam,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.24050425,1490.8,140.98,0.624,0.696,0.812,0.664,4.503416750083416
Quảng Nam,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.32275,1497.5,142.0,0.629,0.702,0.814,0.675,4.7963233333333335
Quảng Nam,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.395808,1505.04,142.0,0.635,0.703,0.816,0.671,5.8715953307393
Quảng Ngãi,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.681644,1230.5,238.66,0.602,0.693,0.806,0.685,4.772659932659932
Quảng Ngãi,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.004634,1231.9,239.0,0.608,0.696,0.808,0.687,5.199520743919885
Quảng Ngãi,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.004634,1233.4,239.0,0.609,0.694,0.806,0.681,5.977115987460816
Bình Định,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.65171,1487.8,245.26,0.605,0.681,0.822,0.636,5.482698730794922
Bình Định,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.66713,1487.8,245.0,0.617,0.691,0.823,0.65,6.008462199312714
Bình Định,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.66713,1487.9,245.0,0.632,0.702,0.823,0.665,6.665889924545052
Phú Yên,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.430048,871.5,173.49,0.582,0.666,0.822,0.618,4.43345011678345
Phú Yên,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.512595,873.2,174.0,0.596,0.676,0.823,0.63,4.6726559893226565
Phú Yên,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.629774,874.3,174.0,0.603,0.683,0.824,0.64,5.621359385437541
Khánh Hòa,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.585555,1224.5,238.33,0.625,0.702,0.828,0.668,4.751152794060179
Khánh Hòa,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.827022,1232.8,240.0,0.636,0.712,0.829,0.685,5.174335329341317
Khánh Hòa,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.099534,1240.44,239.0,0.636,0.707,0.823,0.676,5.895122549019608
Ninh Thuận,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.319241,588.9,175.51,0.514,0.637,0.814,0.617,4.831748415081749
Ninh Thuận,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.31015,591.0,176.0,0.53,0.652,0.815,0.642,4.797062146892655
Ninh Thuận,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.365234,593.64,177.0,0.516,0.654,0.814,0.666,5.646489104116223
Kon Tum,2018,Vùng Tây Nguyên,0.452334,532.4,55.03,0.536,0.61,0.717,0.59,5.45061
Kon Tum,2019,Vùng Tây Nguyên,0.434371,543.4,56.0,0.563,0.624,0.718,0.601,5.399678899082569
Kon Tum,2020,Vùng Tây Nguyên,0.389048,555.64,57.0,0.578,0.64,0.733,0.619,6.596165664662658
Gia Lai,2018,Vùng Tây Nguyên,0.496307,1495.7,96.43,0.514,0.618,0.765,0.601,5.19562
Gia Lai,2019,Vùng Tây Nguyên,0.59857025,1520.2,98.0,0.521,0.622,0.768,0.603,4.770393518518519
Gia Lai,2020,Vùng Tây Nguyên,0.614615,1541.83,99.0,0.517,0.624,0.77,0.611,7.364522546419098
Đắk Lắk,2018,Vùng Tây Nguyên,0.940213,1861.5,142.86,0.554,0.636,0.775,0.598,4.346243386243387
Đắk Lắk,2019,Vùng Tây Nguyên,1.128455,1872.6,144.0,0.593,0.654,0.778,0.607,4.347013031550069
Đắk Lắk,2020,Vùng Tây Nguyên,1.261117,1886.94,144.0,0.557,0.648,0.784,0.622,5.042314425770307
Đắk Nông,2018,Vùng Tây Nguyên,0.486835,615.4,94.54,0.561,0.643,0.768,0.617,4.774040150564617
Đắk Nông,2019,Vùng Tây Nguyên,0.464917,625.8,96.0,0.566,0.646,0.769,0.62,4.988107752956636
Đắk Nông,2020,Vùng Tây Nguyên,0.420212,637.91,98.0,0.586,0.657,0.771,0.628,5.768652668416448
Lâm Đồng,2018,Vùng Tây Nguyên,0.7274514999999999,1291.4,132.0,0.598,0.681,0.814,0.648,5.3106632996633
Lâm Đồng,2019,Vùng Tây Nguyên,0.678787,1299.3,133.0,0.613,0.691,0.815,0.66,6.054172661870504
