Địa phương,Năm,Giá trị
Hậu Giang,2023,5.5716498316498315
Khánh Hòa,2023,6.083047034764826
Kiên Giang,2023,5.533354080221301
Kon Tum,2023,6.658807439824945
Lai Châu,2023,5.976918392204628
Long An,2023,5.9021869088157395
Lào Cai,2023,5.944277129727819
Lâm Đồng,2023,6.934338680926916
Nam Định,2023,7.968396226415094
Nghệ An,2023,7.331638225255973
Ninh Bình,2023,6.627497952497953
Ninh Thuận,2023,5.5912607944732295
Phú Thọ,2023,7.654654088050315
Phú Yên,2023,5.503703703703703
Quảng Bình,2023,5.605969634230504
Quảng Nam,2023,5.704663991975928
Quảng Ngãi,2023,6.357205096588574
Quảng Ninh,2023,5.582194155522536
Quảng Trị,2023,5.736396503774334
Sóc Trăng,2023,7.356749174917491
Sơn La,2023,5.5108743169398915
Thanh Hóa,2023,7.45757501027538
Thái Bình,2023,7.382142857142858
Thái Nguyên,2023,7.001165980795611
Thừa Thiên - Huế,2023,5.930066800267201
Tiền Giang,2023,6.387143810477143
Trà Vinh,2023,5.402357456140351
Tuyên Quang,2023,7.199706867671693
Tây Ninh,2023,6.451227373068432
Vĩnh Long,2023,6.601594807603153
Vĩnh Phúc,2023,7.809615384615386
Yên Bái,2023,7.430400485436893
Điện Biên,2023,5.341655658300308
Đắk Lắk,2023,5.082757894736842
Đắk Nông,2023,5.9407300275482084
Đồng Nai,2023,6.447613219094248
Đồng Tháp,2023,6.327178148921364
